Create Facility Product,$facility_lid$,$telescope_lid1$,$telescope_lid2$,$telescope_lid3$,$facility_title$,$facility_country$,$alternate_id1$,$alternate_title1$,$alternate_id2$,$alternate_title2$,$alternate_id3$,$alternate_title3$
1,urn:nasa:pds:context:facility:observatory.caha-calar_alto,urn:nasa:pds:context:telescope:caha.1m23,,,Centro Astronómico Hispano-Alemán,Spain,CAHA,,Calar Alto,Calar Alto Observatory,DSAZ,Deutsch-Spanisches Astronomisches Zentrum
1,urn:nasa:pds:context:facility:observatory.ctio-cerro_tololo,urn:nasa:pds:context:telescope:ctio-cerro_tololo.smarts_1m50,urn:nasa:pds:context:telescope:ctio-cerro_tololo.victorblanco_4m0,,Cerro Tololo Inter-American Observatory,Chile,CTIO,,,,,
1,urn:nasa:pds:context:facility:observatory.eso-la_silla,urn:nasa:pds:context:telescope:eso-la_silla.1m04,urn:nasa:pds:context:telescope:eso-la_silla.2m2,urn:nasa:pds:context:telescope:eso-la_silla.3m6,European Southern Observatory-La Silla,Chile,ESO,,La Silla,La Silla Observatory,,
1,urn:nasa:pds:context:facility:observatory.irtf-maunakea,urn:nasa:pds:context:telescope:irtf-maunakea.3m2,,,Infra Red Telescope Facility-Maunakea,USA,IRTF,,NASA IRTF,NASA Infrared Telescope Facility,,
1,urn:nasa:pds:context:facility:observatory.kuiper-airborne,urn:nasa:pds:context:telescope:kuiper-airborne.0m91,,,Kuiper Airborne Observatory,,KAO,,,,,
1,urn:nasa:pds:context:facility:observatory.las_campanas,urn:nasa:pds:context:telescope:las_campanas.swope_1m0,urn:nasa:pds:context:telescope:las_campanas.ireneedupont_2m5,,Las Campanas Observatory,Chile,LCO,,,,,
0,urn:nasa:pds:context:facility:observatory.lowell,urn:nasa:pds:context:telescope:lowell.perkins_warner1m83,,,Lowell Observatory,,,,,,,
0,urn:nasa:pds:context:facility:observatory.mcdonald,urn:nasa:pds:context:telescope:mcdonald.harlanjsmith_2m7,,,McDonald Observatory,,,,,,,
0,urn:nasa:pds:context:facility:observatory.mount_stromlo,urn:nasa:pds:context:telescope:mount_stromlo.1m9,,,Mount Stromlo Observatory,,,,,,,
1,urn:nasa:pds:context:facility:observatory.pic_du_midi-bigorre,urn:nasa:pds:context:telescope:pic_du_midi.1m06,urn:nasa:pds:context:telescope:pic_du_midi.bernardlyot_2m0,,Pic du Midi de Bigorre,France,Pic du Midi,Pic du Midi Observatory,Pic du Midi,Observatoire du Pic du Midi,,
0,urn:nasa:pds:context:facility:observatory.palomar,urn:nasa:pds:context:telescope:palomar.hale_5m08,,,Palomar Observatory,,Palomar,,,,,
1,urn:nasa:pds:context:facility:observatory.saao,urn:nasa:pds:context:telescope:saao.radcliffe_1m88,,,South African Astronomical Observatory,South Africa,SAAO,,,,,
0,urn:nasa:pds:context:facility:observatory.siding_spring,urn:nasa:pds:context:telescope:siding_spring.anu_2m3,urn:nasa:pds:context:telescope:siding_spring.aat_3m9,,Siding Spring Observatory,,SSO,,,,,
1,urn:nasa:pds:context:facility:observatory.teide,urn:nasa:pds:context:telescope:teide.carlossanchez_1m55,,,Observatorio del Teide,Spain,Teide,,,Teide Observatory,,
1,urn:nasa:pds:context:facility:observatory.maunakea,urn:nasa:pds:context:telescope:maunakea.ukirt_3m8,,,Maunakea Observatory,USA,MKO,,,Maunakea Observatories,,
0,,urn:nasa:pds:context:instrument_host:spacecraft.hst,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
0,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,key,,,,,,,,,,,
,,,,,,,,,,,,
,green - valid context product exists,,,,,,,,,,,
,pink - existing LID needs to be deprecated,,,,,,,,,,,
,yellow - valid LID of product I will submit to replace corresponding deprecated LID,,,,,,,,,,,
,blue - new context product I have submitted,,,,,,,,,,,
,no color - new context product I have not yet submitted,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Notes:,,,,,,,,,,,,
"For facility LIDs colored green but telescope LIDs colored yellow, existing context products lack internal references.  Maybe that's okay, as long as the telescope context product contains one? ",,,,,,,,,,,,
"For facility LIDs colored yellow, existing context products contain info that we should probably incorporate. ",,,,,,,,,,,,